iter	MAE	RMSE
875	29841571.8	51143908.36
876	29828613.99	51111898.48
877	29839281.7	51127249.92
878	29822087.92	51110206.12
879	29824627	51102291.94
880	29823509.55	51082311.61
881	29822942.29	51066106.33
882	29818540	51065425.07
883	29813638.65	51058823.35
884	29788691.08	51050705.93
885	29791046.18	51052766.86
886	29783779.31	51050701.16
887	29788733.92	51060496.35
888	29777994.67	51040363.79
889	29770427.82	51038926.49
890	29774214.92	51037260.38
891	29770989.34	51007052
892	29780994.7	51021494.64
893	29773048.7	51010061.28
894	29774062.63	51017281.67
895	29776762.33	51010855
896	29768027.66	51005358.88
897	29763855.94	50992885.67
898	29770466.07	51000360.5
899	29763364.83	50999690.59
900	29762230.31	50987059.55
901	29756737.59	50974016.05
902	29764087.23	50972510.3
903	29743646.25	50932007.03
904	29731819.84	50917490.25
905	29741090.16	50927421.45
906	29726275	50905180.86
907	29733860.13	50917691
908	29728893.61	50918471.35
909	29717056.66	50911149.92
910	29712582.41	50900539.69
911	29722921.42	50918542.13
912	29724465.33	50897474.77
913	29721103.49	50893687.74
914	29727474.17	50888719.03
915	29717380	50895986.18
916	29716675.32	50907005.83
917	29712707.28	50893554.08
918	29721148.42	50898904.67
919	29699329.6	50884925.86
920	29705596.02	50890521.35
921	29712216.81	50898190.07
922	29723881.46	50894421.81
923	29716260.22	50884625.59
924	29698705.69	50873597.81
925	29675098.3	50834266.59
926	29683395.19	50841457.11
927	29693321.63	50842562.69
928	29696286.98	50836460.99
929	29690591.07	50825680.14
930	29682848.41	50819564.71
931	29683911.95	50806682.39
932	29676459.02	50804863.7
933	29671159.9	50810163.43
934	29670211.5	50797659.5
935	29651103.07	50777384.12
936	29649830.14	50781728.56
937	29628644.04	50746552.26
938	29635033.46	50760624.84
939	29633242.97	50765459.31
940	29617468.55	50751482.13
941	29616577.64	50740958.83
942	29609951.36	50743364.13
943	29615210.72	50746275.5
944	29614707.24	50742595.41
945	29618926.44	50747181.44
946	29618807.43	50746039.94
947	29614178.73	50740589.63
948	29612777.51	50739735.91
949	29599918	50674895.82
950	29595474.2	50672634.81
951	29588647.7	50656838.02
952	29579039.54	50624630.46
953	29577739.2	50618594.14
954	29556225.16	50600017.88
955	29532489.92	50578679.03
956	29538412.73	50574987.83
957	29538954.62	50560965.86
958	29543857.39	50562420.8
959	29536386.65	50557757.55
960	29539499.73	50562287.02
961	29533550.72	50541774.71
962	29530780.22	50526520.05
963	29516596.94	50516762.6
964	29518353.54	50512757.73
965	29518095.5	50483481.28
966	29510314.77	50481389.51
967	29505542.4	50479627.63
968	29494685.4	50474502.28
969	29492984.78	50481070.09
970	29502042.63	50494416.04
971	29501490.32	50487430.58
972	29496797.56	50487610.95
973	29487937.5	50464203.13
974	29485696.28	50453817.1
975	29481114.75	50410194.76
976	29474379.99	50409682.46
977	29479063.48	50418681.86
978	29478070.73	50409051.9
979	29453879.61	50377227.68
980	29439720.39	50359522.79
981	29442394.17	50366660.73
982	29438155.01	50342861.08
983	29422904.89	50322583.96
984	29417322.98	50324533.5
985	29420169.44	50331059.2
986	29424698.77	50339847.94
987	29413233	50320059.55
988	29424452.39	50332179.63
989	29429081.25	50331894.98
990	29417450.63	50318493.77
991	29419170.33	50318212.9
992	29406247.07	50315844.71
993	29394136.34	50316291.7
994	29393881.69	50291704.71
995	29377545.28	50276357.97
